book_title,book_author,book_translator,book_pub_date,book_isbn
"IT CookBook, 정보 보안 개론과 실습 : 시스템 해킹과 보안(개정판)",양대일 ,,2013-09-15,9788998756628
일러스트레이터 트레이닝 북: Illustrator Training Book,박혜진 삐딱대가리 ,,2009-01-28,9788979146240
좋은 사진을 만드는 ZAKO의 77가지 사진 잘 찍는 법,ZAKO 그룹 ,,2013-10-26,9788968480508
맛있는 디자인 인디자인 CS6,황지완 ,,2012-11-28,9788979149814
좋은 사진을 만드는 김주원의 DSLR 사진 입문  : 누구에게도 묻지 못했던 사진에 관한 87가지 질문,김주원 ,,2013-06-11,9788968480232
"IT CookBook, 정보 보안 개론과 실습 : 네트워크 해킹과 보안(개정판)",양대일 ,,2013-07-24,9788998756321
전문가를 위한 C++(개정3판),마크 그레고리 ,권오인 ,2016-11-04,9788968484858
좋은 사진을 만드는 정승익의 사진 노출 (전면개정판),정승익 ,,2017-01-31,9788968484735
뇌를 자극하는 C++ 프로그래밍,이현창 ,,2006-07-06,8979144199
이것이 편집디자인이다: 편집디자이너가 알아야 할 모든 것,김덕희(CDM The Big) ,,2012-06-18,9788979149340
리버스 엔지니어링 2권(디버거 편),이호동 ,,2017-03-01,9788968484810
"IT CookBook, 네트워크 해킹과 보안 개정3판 : 정보 보안 개론과 실습",양대일 ,,2016-12-28,9791156642770
리버스 엔지니어링 1권(파일 구조 편),이호동 ,,2016-09-28,9788968484872
"좋은 사진을 만드는 장세현, 전국희의 아이디어가 반짝이는 DSLR 촬영 테크닉","장세현 , 전국희 ",,2014-03-28,9788968480881
"IT CookBook, 정보 보안 개론 개정3판",양대일 ,,2018-01-10,9791156643616
맛있는 디자인 일러스트레이터 CS6,우보명 ,,2012-12-12,9788979149890
성능을 100% 끌어내는 멀티코어 애플리케이션 프로그래밍,대릴 고브 ,권오인 ,2012-06-28,9788979149289
뇌를 자극하는 C++ STL,공동환 ,,2012-04-26,9788979149135
Thinking About : PPL을 이용한 VC++ 병렬 프로그래밍(2판),김경진 ,,2014-03-17,9788968486548
"IT CookBook, 핵심이 보이는 신호 및 시스템 : 기본 이론부터 MATLAB 실습까지",이철희 ,,2015-01-09,9791156641469
MATLAB으로 배우는 공학수학 : Engineering Mathematics,소상균 ,,2014-01-28,9788998756871
MATLAB으로 배우는 선형대수학 : Linear Algebra with MATLAB,"이광연 , 설한국 ",,2015-06-10,9791156641841
회사에서 바로 통하는 일러스트레이터 CS5,박혜진(삐딱대가리) ,,2011-04-28,9788979148244
"IT CookBook, 디지털 신호 처리 : 기본 이론부터 MATLAB 실습까지",이철희 ,,2013-07-31,9788998756307
Windows 시스템 실행파일의 구조와 원리,이호동 ,,2005-05-25,897914332x
Designing Web Navigation : 사용자 경험 최적화를 위한 웹 내비게이션 설계 원칙,제임스 콜백 ,김소영 ,2008-03-01,9788979145588
알고리즘 문제 풀이 전략,"조중필 , 한현상 , 이주호 ",,2016-06-01,9788968482700
After Effects Professional Training book: 모션 그래픽 실무 예제집,이수정 ,,2008-09-19,9788979145960
"IT EXPERT, 64비트 멀티코어 OS 원리와 구조 1권: OS 개발 60일 프로젝트",한승훈 ,,2011-07-23,9788979148367
"IT CookBook for Beginner, C++ 기초","신호철 , 조인현 ",,2013-08-13,9788998756475
"IT CookBook, 광통신 공학 : MATLAB과 함께하는 광통신 시스템",이종형 ,,2015-02-24,9791156641759
좋은 사진을 만드는 김주원의 미러리스 & DSLR 사진강의,김주원 ,,2015-11-12,9788968482267
"IT CookBook, 통신시스템의 기초 : Fundamentals of Communications Systems",마이클 피츠 ,"고균병 , 이종형 , 장은영 , 홍대기 ",2009-03-09,9788979146554
기초 선형대수학 : BASIC LINEAR ALGEBRA,"이광연 , 설한국 , 김진수 ",,2013-11-02,9788998756642
"IT CookBook, 원리로 이해하는 통신이론 : Analog & Digital Communications",한동석 ,,2015-01-01,9791156641445
HTML과 나모로 홈페이지 만들기 디자인 스쿨,"김형철 , 안치현 ",,2008-12-12,9788979146462
최신 공학수학 with Sage Ⅰ,"이상구 , 김영록 , 박준현 , 김응기 , 이재화 ",,2016-01-12,9791156642091
"IT EXPERT, 64비트 멀티코어 OS 원리와 구조 2권: OS 개발 60일 프로젝트",한승훈 ,,2011-07-23,9788979148374
회사에서 바로 통하는 엑셀&파워포인트 2007,"한은숙 , 고경희 ",,2008-06-11,9788979144888
불황을 이기는 색다른 쇼핑몰 COLOR & LAYOUT,"김정인 , 박혜진 , 라임기획 ",,2009-01-28,9788979146059
"IT CookBook, 영상을 이용한 디지털 신호처리 : 실제적인 사례와 응용","엄민영 , 김성제 ",,2014-01-28,9788998756857
"IT CookBook, 기초 신호 및 시스템",이철희 ,,2016-07-18,9791156642657
"IT CookBook, 정보보안 이론과 실제",마크 스탬프 ,"안태남 , 손용락 , 이광석 ",2015-09-17,9791156642008
회사에서 바로 통하는 포토샵 CS4,원다예 ,,2009-04-09,9788979146660
"IT CookBook, C C++ 프로그래밍 : 프로그래밍 기초와 객체지향",김동근 ,,2013-03-12,9788998756086
움직이는 사물의 비밀: DIY를 위한 기계와 메커니즘의 기초,더스틴 로버츠 ,"랜덤웍스 , 윤진서(공역) ",2012-12-23,9788979149869
"IT CookBook, 초보자의 첫 번째 나모 웹에디터 2008",최희식 ,,2009-11-05,9788979146974
"IT CookBook, C++ 하이킹 : 객체지향과 만나는 여행","성윤정 , 김태은 ",,2013-06-19,9788998756215
"IT CookBook, 공업수학 : 기본 개념부터 응용까지",이준탁 ,,2015-02-16,9791156641742
"IT CookBook, 디지털 통신 시스템 : Digital Communication Systems","정호영 , 임승각 ",,2011-01-31,9788979147988
라즈베리 파이 쿡북,사이먼 몽크 ,"박경욱 , 백운혁 , 유시형 , 윤종우 ",2014-12-26,9788968481536
메이커 운동 선언 : 테크숍 CEO가 말하는 미래를 지배할 혁신의 원칙,마크 해치 ,정향 ,2014-05-20,9788968480980
최신 공학수학 with Sage Ⅱ,"이상구 , 김영록 , 박준현 , 김응기 , 이재화 ",,2016-01-12,9791156642107
수식이 보이는 공학수학 : Engineering Mathematics,장윤석 ,,2013-03-07,9788998756062
"IT CookBook, 디지털 영상처리 입문 : 오감을 자극하는 3차원 입체 학습","신종홍 , 장선봉 , 지인호 ",,2015-02-16,9791156641766
전자부품 백과사전 vol.1 : 전력 전원 및 변환,찰스 플랫 ,배지은 ,2014-12-26,9788968481505
처음 시작하는 센서,"키모 카르비넨 , 테로 카르비넨 ",임지순 ,2015-02-25,9788968481697
Make : 아두이노 DIY 프로젝트,"키모 카르비넨 , 테로 카르비넨 ",배지은 ,2014-01-02,9788968480737
2018 전기산업기사 실기 과년도 기출문제,김상훈 ,,2018-02-21,9791156643463
"IT CookBook, C++ 프로그래밍 기초 : 객체지향의 시작","성윤정 , 김태은 ",,2014-03-12,9791156641049
착한 사람들이 이긴다,모기룡 ,,2013-03-25,9788994120546
망각의 즐거움,임희택 ,,2013-06-10,9788994120607
"IT CookBook, 확률과 랜덤 과정",정호영 ,,2018-01-15,9791156643791
지금 당장 재테크 공부하라,이동훈 ,,2013-06-28,9788994120584
easy LTE : 초보 기술자를 위한 이동통신 가이드북,이상근 ,,2015-07-10,9791156641834
모든 순간의 인문학,한귀은 ,,2013-05-28,9788994120577
경제습관을 상속하라 : 살면서 반드시 알아야 할 8가지 돈의 원칙,조진환 ,,2013-02-20,9788994120522
"청춘, 홀로 서면 외롭지 않다",김이율 ,,2013-07-09,9788994120621
모방의 경제학,"칼 라우스티아라 , 크리스토퍼 스프리그맨 ",이주만 ,2013-04-12,9788994120560
Make: Technology on Your Time Volume 01,오라일리 / 메이크 미디어 (Make Media) ,한빛미디어 / Make ,2011-05-09,9788979147728
말하고 듣고 대화하는 Physical Computing 아두이노,Todd Holoubek(백토담) ,,2014-03-28,9788960558373
33가지 프로젝트로 배우는 아두이노,사이먼 몽크 ,윤진서 ,2014-05-20,9788968481000
경제학자의 인문학 서재 2,박정호 ,,2013-06-10,9788994120614
Make: Technology on Your Time Volume 03,오라일리 / 메이크 미디어 (Make Media) ,한빛미디어 / Make ,2012-04-02,9788979149128
"IT CookBook, 컴퓨터 비전",오일석 ,,2014-07-01,9791156641216
(D-30 단기합격 솔루션) 전기기사 필기 핵심 이론 & 엄선된 필수 기출문제 466선,김상훈 ,,2015-06-02,9791156641933
2018 전기기사 필기 과년도 기출문제 & 동영상,김상훈 ,,2017-10-27,9791156643418
전공이 보이는 미분적분학: FOR ELECTRICAL & ELECTRONIC ENGINEERS,장윤석 ,,2015-05-30,9791156641827
4차 산업혁명 시대의 경영정보시스템,이동훈 ,,2017-08-08,9791156643319
Make: Technology on Your Time Volume 02,오라일리 / 메이크 미디어 (Make Media) ,한빛미디어 / Make ,2011-09-06,9788979148411
"IT CookBook, 컴퓨터 구조와 원리 2.0 : 비주얼 컴퓨터 아키텍처",신종홍 ,,2013-08-21,9788998756314
인생의 한 수를 두다,장석주 ,,2013-08-07,9788994120638
Make : Technology on Your Time Volume 07,메이커 미디어 ,한빛미디어 / Make ,2013-12-28,9788968480669
"IT CookBook, 전자상거래와 e-비즈니스(개정3판)",이동훈 ,,2015-12-28,9791156642435
Make : Technology on Your Time Volume 06,메이커 미디어 ,한빛미디어 / Make ,2013-05-21,9788968480188
"IT CookBook, 익스플로링 아두이노",JEREMY BLUM ,김찬웅 ,2014-05-26,9791156641070
Make: Technology on Your Time Volume 08,메이크 미디어 (Make Media) ,한빛미디어 / Make ,2015-06-28,9788968480836
"IT CookBook, 최신 이동통신 입문 : Mobile Communications",Jochen H. Schiller ,"곽경섭 , 고영채 ",2016-01-04,9791156642084
엄마와 집짓기,한귀은 ,,2013-12-27,9788994120720
Make: Technology on Your Time Volume 04,오라일리 / 메이크 미디어 (Make Media) ,한빛미디어 / Make ,2012-09-28,9788979149586
(D-30 단기합격 솔루션) 전기산업기사 필기 핵심 이론 & 엄선된 필수 기출문제 458선,김상훈 ,,2015-06-02,9791156641940
저는 경제공부가 처음인데요!,곽해선 ,,2013-08-21,9788994120652
Make: Technology on Your Time Volume 05,오라일리 미디어 (메이크 편집부) ,한빛미디어 / Make ,2013-03-07,9788979149753
기계 학습,오일석 ,,2017-12-05,9791156641582
경제학을 입다/먹다/짓다,박정호 ,,2015-01-09,9791157840045
조르바의 인생수업,장석주 ,,2017-05-20,9791157841844
미적분학,"Carol Ash , Robert B. Ash ","김광수 , 최형규 ",2016-01-21,9791156642343
백만 방문자와 소통하는 소셜 홍보 마케팅,김진 ,,2015-09-18,9788968482236
백만 방문자와 소통하는 페이스북 마케팅,"종유진 , 최규문 ",,2016-10-10,9788968482601
"IT CookBook, 컴퓨터 아키텍처 : 컴퓨터 구조 및 동작 원리",우종정 ,,2014-08-11,9791156641322
기초수학 : Basic Mathematics,"이재원 , 박성욱 ",,2014-03-21,9791156641087
지금 당장 경제지표 공부하라,"윤채현 , 허정호 ",,2013-10-07,9788994120683
메소드 스타일,에릭 라이언 + 애덤 라우리 ,구세희 ,2013-08-21,9788994120669
기초 미분적분학 : Pre Calculus,함남우 ,,2014-01-28,9788998756819
"이케아, 북유럽 스타일 경영을 말하다",앤더스 달빅 ,김은화 ,2013-10-22,9788994120294
대학수학 Plus : University Mathematics,이재원 ,,2013-10-14,9788998756635
이것이 자바다,신용권 ,,2015-01-06,9788968481475
백만 방문자와 소통하는 블로그 마케팅,조재형 ,,2015-06-28,9788968481994
유쾌한 혁명을 작당하는 공동체 가이드북,세실 앤드류스 ,강정임 ,2013-10-17,9788994120690
"소셜 모바일 시대, QR 코드 마케팅 전략","박은숙 , 박윤선 ",,2011-05-17,9788979148282
이것이 안드로이드다,박성근 ,,2014-08-25,9788968481178
"안드로이드 프로그래밍 정복 4판, 2권",김상형 ,,2016-01-22,9788968482533
"IT CookBook, 임베디드 리눅스 기초와 응용","우종정 , 사공준 ",,2017-01-24,9791156643135
"안드로이드 프로그래밍 정복 4판, 1권",김상형 ,,2016-01-22,9788968482526
Head First Design Patterns: 스토리가 있는 패턴 학습법,"에릭 프리먼 , 엘리자베스 프리먼 , 케이시 시에라 , 버트 베이츠 ",서환수 ,2005-08-22,8979143400
공학 핵심수학 : Core Mathematics for Engineering,함남우 ,,2015-01-01,9791156641438
기초 미분적분학(개정판) : Pre Calculus,함남우 ,,2017-07-07,9791156643210
이자론 중심으로 배우는 금융수학 : 보험계리사 시험 대비,이재원 ,,2014-10-10,9791156641315
확률과 통계 입문 : Basic Probability & Statistics,이재원 ,,2017-07-10,9791156643227
생생한 사례로 배우는 확률과 통계,이재원 ,,2016-07-15,9791156642619
공학 기초수학 : Basic Mathematics for Engineering,함남우 ,,2014-07-07,9791156641179
가장 쉽게 배우는 블로그 & 페이스북,"강진영 , 박순녀 ",,2015-11-26,9788968482441
페이스북 시대: 소셜 네트워크를 활용한 비즈니스와 마케팅,클라라 샤이(Clara Shih) ,전성민 ,2010-11-23,9788979147902
지금 당장 소셜마케팅 시작하라,조재형 ,,2014-02-25,9788994120744
"IT CookBook, 쉽게 배우는 자바 프로그래밍",우종정 ,,2017-08-02,9791156643296
Head First Java: 뇌 회로를 자극하는 자바 학습법(개정판),"케이시 시에라 , 버트 베이츠 ",서환수 ,2005-11-16,8979143710
가장 좋은 사랑은 아직 오지 않았다,한귀은 ,,2013-09-09,9788994120676
"이나모리 가즈오 1,155일간의 투쟁",오니시 야스유키│ ,송소영 ,2013-11-02,9788994120300
"IT CookBook, 우분투 리눅스 : 시스템 & 네트워크",이종원 ,,2014-07-03,9791156641209
"내 가게, 소셜커머스로 대박나기 : 소상공인을 위한 소셜커머스 활용 가이드 북","손미향 , 구현아 , 이지인 ",,2011-08-23,9788979148473
"IT CookBook, 페도라 리눅스 : 시스템 & 네트워크",이종원 ,,2014-01-02,9788998756659
Elemental Design Patterns : 객체지향과 디자인 패턴의 연결 고리,제이슨 맥컴 스미스 ,김지원 ,2013-05-02,9788968480140
스크럼 성공전략 : 성공하는 애자일을 위한 30가지 지름길,일란 골드스타인(Ilan Goldstein) ,박남혜 ,2014-09-02,9788968481239
Head First Servlets & JSP(개정판) : 상상력을 자극하는 몰입의 학습법,"케이시 시에라 , 버트 베이츠 , 브라얀 바샴 ",김종호 ,2009-02-02,9788979146639
Head First Statistics: 실생활 예제로 배우는 정말 쉬운 통계 이야기,돈 그리피스 ,임백준 ,2012-04-26,9788979147278
경제학자의 인문학서재,"김훈민 , 박정호 ",,2012-01-02,9788994120232
지금 당장 금리공부 시작하라,윤채현 ,,2011-10-06,9788994120195
안나여 저게 코츠뷰의 불빛이다,우에무라 나오미 ,김윤희 ,2011-03-24,9788994120140
뇌를 자극하는 Java 프로그래밍,김윤명 ,,2006-09-04,8979143974
"IT CookBook, 자바 프로그래밍 바이블","오경주 , 염기호 , 정용훈 ",,2016-08-12,9791156642732
"IT CookBook, JUST JAVA : 객체지향에 충실한 자바다운 자바",황희정 ,,2015-10-26,9791156642015
"IT CookBook, GOOD JAVA : 프로그래밍을 시작하는 사람들을 위한",우재남 ,,2016-02-16,9791156642442
Head First C : 내공 있는 C 프로그래머로 이끌어주는 착한 안내서,"데이빗 그리피스 , 돈 그리피스 ",강권학 ,2012-11-08,9788979149760
"탱고 경영 : 마켓 3.0 시대, 기업 서열을 뒤집는 비즈니스 플랫폼 전략",형원준 ,,2012-05-15,9788994120324
지금 당장 재무설계 공부하라,김태형 ,,2011-11-04,9788994120201
"그래도, 달러다","윤채현 , 이남수 ",,2012-07-03,9788994120379
플랫폼이란 무엇인가?,윤상진 ,,2012-06-18,9788994120362
지금 당장 세계경제 공부하라,박유연 ,,2012-08-20,9788994120409
자바 객체지향 디자인 패턴: UML과 GoF 디자인 패턴 핵심 10가지로 배우는,"정인상 , 채흥석 ",,2014-04-28,9788968480911
뇌를 자극하는 JSP & Servlet,김윤명 ,,2010-12-15,9788979147506
시장경제의 재발견,"KDI , MERI ",,2012-08-20,9788994120287
딥 스마트 : 똑똑한 조직을 만드는 탁월한 리더,이정규 ,,2011-06-12,9788994120171
라디오헤드로 철학하기,브랜든 포브스 외 ,김경주 ,2012-07-23,9788994120386
지금 당장 마케팅 공부하라,구자룡 ,,2012-09-28,9788994120423
저는 차트분석이 처음인데요!,강병욱 ,,2012-08-28,9788994120416
사전처럼 바로 찾아 쓰는 자바7 : 기본부터 심화까지 해결하는 문제 해결의 길잡이,조시 주노 외 3인 ,백기선 외 8인 ,2013-10-28,9788968480546
마흔의 서재 : 마흔에 멈추어 읽는 책이 남은 인생의 길이 된다,장석주 ,,2012-11-06,9788994120454
"IT CookBook, 자바 프로그래밍 기초 : 원리부터 응용까지",고응남 ,,2008-12-15,9788979146523
100만 방문자와 소통하는 파워블로그 만들기,"윤상진 , 함성한 , 승채린 , 조상래 , 김동범 ",,2011-05-28,9788979147957
"IT CookBook, 프로젝트로 배우는 자바 웹 프로그래밍",황희정 ,,2014-01-09,9788998756680
"서른넷, 물음표 위에 서다",권은아 ,,2012-08-16,9788994120393
지금 당장 회계공부 시작하라,"강대준 , 신홍철 ",,2012-11-13,9788994120461
대통령을 위한 경제학,최용식 ,,2012-11-06,9788994120478
지금 당장 돈의 흐름 공부하라,윤채현 ,,2009-08-18,9788996185574
애자일 개발과 스크럼 : 더 나은 자신과 팀을 위한 소프트웨어 개발 방법,"노나카 이쿠지로 , 히라나베 겐지 ",이명교 ,2014-07-28,9788968481109
저는 재테크가 처음인데요 완전 개정판,김태형 ,,2017-04-26,9791157841837
파이썬 라이브러리를 활용한 머신러닝,"안드레아스 뮐러 , 세라 가이도 ",박해선 ,2017-07-01,9788968483394
보수는 어떻게 국민을 속이는가,조슈아 홀랜드 ,이은경 ,2012-10-08,9788994120430
지금 당장 환위험을 관리하라,이성열 ,,2009-10-21,9788996185598
저는 재테크가 처음인데요,김태형 ,,2014-01-07,9788994120713
저는 주식투자가 처음인데요 완전개정판,강병욱 ,,2015-07-02,9791157840182
이노베이션 신화의 진실과 오해,스콧버쿤 ,"임준수 , 서상원 ",2008-01-23,9788979145502
뇌를 자극하는 알고리즘,박상현 ,,2009-09-04,9788979146875
저는 주식투자가 처음인데요! 2탄,강병욱 ,,2014-09-12,9788994120898
저는 차트분석이 처음인데요 최신개정판,강병욱 ,,2018-01-22,9791157842315
"(10대를 위한 프로그래밍 노트, 수프) 앱 인벤터: 나만의 앱 만들기! 구글과 MIT 기술로 배우는 컴퓨팅 사고력",김종훈 ,,2016-01-14,9788968482342
"IT CookBook, ASP.NET 4.0 프로그래밍",김동아 ,,2014-02-19,9791156641025
처음 배우는 인공지능,다다 사토시 ,송교석 ,2017-06-01,9788968483318
뇌를 자극하는 파이썬 3,박상현 ,,2016-02-05,9788968482359
"IT CookBook, 유닉스 이론과 실습(개정판)","윤소정 , 이종원 ",,2013-07-28,9788998756512
"IT CookBook, 유닉스 시스템 프로그래밍",이종원 ,,2017-07-17,9791156643326
저는 기업분석이 처음인데요 (완전 개정판),강병욱 ,,2016-09-28,9791157841493
뇌를 자극하는 C# 5.0 프로그래밍,박상현 ,,2014-08-19,9788968481161
밑바닥부터 시작하는 딥러닝,사이토 고키 ,개앞맵시(이복연) ,2017-01-03,9788968484636
"IT CookBook, 페도라 리눅스(개정판)",이종원 ,,2017-11-10,9791156641599
The Art of Computer Programming 3: 정렬과 검색(개정 2판),도널드 커누스(Donald E. Knuth)) ,류광 ,2008-01-01,9788979145496
핸즈온 머신러닝,오렐리앙 제롱(Aurélien Géron) ,박해선 ,2018-04-27,9791162240731
앱 인벤터 2 : 구글과 MIT 앱 인벤터 개발팀이 안내하는 안드로이드 프로그래밍,"David Wolber , Hal Abelson , Ellen Spertus , Liz Looney ","오일석 , 이진선 ",2015-07-20,9791156641865
"Introduction To Algorithms, Third Edition","토머스 코멘 , 찰스 레이서손 , 로날드 리베스트 , 클리포드 스타인 ","문병로 , 심규석 , 이충세 ",2014-07-10,9791156641131
The Art of Computer Programming 1: 기초 알고리즘(개정 3판),도널드 커누스(Donald E. Knuth) ,류광 ,2006-09-28,9788979144307
The Art of Computer Programming 4A 컴퓨터 프로그래밍의 예술: 조합적 알고리즘 1부,도널드 커누스(Donald E. Knuth) ,류광 ,2013-08-19,9788968480287
"IT EXPERT, ASP.NET 2.0 웹 프로젝트와 실전 프로그래밍",조성진 ,,2006-07-03,8979144180
뇌를 자극하는 ASP.NET 2.0 프로그래밍,이시환 ,,2006-07-06,8979144083
The Art of Computer Programming 2: 준수치적 알고리즘(개정 3판),도널드 커누스(Donald E. Knuth) ,류광 ,2007-09-14,9788979144840
"IT CookBook, 초보자의 첫 번째 한글 2007",양숙희 ,,2009-11-05,9788979147018
엑셀 VBA로 쉽게 배우는 금융공학 프로그래밍,"이기홍 , 곽승주 ",,2009-06-01,9788979146738
처음 배우는 딥러닝 수학,"와쿠이 요시유키 , 와쿠이 사다미 ",,2018-02-01,9791162240441
"IT CookBook, 쉽게 배우는 유전 알고리즘 : 진화적 접근법",문병로 ,,2014-09-02,9791156641353
"IT CookBook, Eclipse를 활용한 안드로이드 프로그래밍","우재남 , 이복기 ",,2015-01-28,9791156641711
"IT CookBook, Android Studio를 활용한 안드로이드 프로그래밍(증보판)","우재남 , 박길식 ",,2016-01-03,9791156642480
타라 아트(TAHRA ART),김경환(Tahra) ,,2013-07-28,9788968480355
도와주세요! 뉴(NEW) 아이패드가 생겼어요,이윤환 ,,2012-04-24,9788979149210
"IT CookBook, enjoy design 플래시 CS6",한형만 ,,2013-12-27,9788998756673
맛있는 디자인 드림위버 CS6,임화연 ,,2012-10-18,9788979149654
나는 일러스트레이터다(개정판) : 비정규 아티스트 밥장이 알려주는 프리랜서의 명쾌한 자기 관리법,밥장 ,,2014-02-07,9788968480805
나는 일러스트레이터다 : 비정규 아티스트 밥장이 알려주는 프리랜서의 명쾌한 자기 관리법,밥장 ,,2010-12-23,9788979147858
성공하는 포트폴리오는 따로 있다,"진욱 , 정소현 , 정승환 ",,2014-07-28,9788968481185
펠트보이와 함께하는 손그림 일러스트 놀이,펠트보이 ,,2014-10-21,9788968481383
테크니컬 아티스트를 위한 최고의 교과서 : 내공 있는 CG 아티스트로 이끌어주는 체계적인 입문서,"카츠라 요스케 , 요츠쿠라 타츠오 , 마크 살바티 ",서재우 ,2014-05-16,9788968481017
빅데이터로 일하는 기술 : 감이 아닌 과학으로 성공하는 빅데이터 구축 및 활용 가이드,장동인 ,,2014-12-27,9788968481376
펠트보이와 함께하는 점잇기 선잇기 컬러링 놀이,펠트보이 ,,2015-12-13,9788968482496
게임 컨셉 아트 디자인 북 : 디지털 드로잉부터 게임 배경 원화 제작까지,안홍일 ,,2014-06-24,9788968481062
"IT CookBook, 쉽게 배우는 알고리즘 : 관계 중심의 사고법",문병로 ,,2013-07-02,9788998756406
도와주세요! 아이폰이 생겼어요: iPhone+App 활용 사전,"김현철 , 임희석 , 김태용 ",,2010-05-20,9788979147483
맛있는 디자인 플래시 CS6,안혜선 ,,2012-11-26,9788979149821
아담의 플래시 액션스크립트 3.0,임종기 ,,2009-09-26,9788979146882
100만 방문자와 소통하는 카카오스토리 마케팅 : 카카오스토리 채널 마케팅 실전 노하우,최근영 ,,2014-12-22,9788968481499
회사에서 바로 통하는 플래시 CS3,차우람 ,,2008-08-27,9788979145489
회사에서 바로 통하는 플래시 CS4,"안혜선 , 박영준 ",,2010-02-02,9788979147063
지금 당장 써먹는 윈도우 10 마스터북,박광수(아크몬드) ,,2015-12-28,9788968482489
타라아트2,김경환 ,,2016-05-03,9788968482816
NDC ART BOOK,2016 넥슨 개발자 콘퍼런스 전시 작가 ,,2016-04-18,9788968482847
도와주세요! 아이패드가 생겼어요,김태용 ,,2010-11-23,9788979147971
빅데이터의 충격: 거대한 데이터의 파도가 사업 전략을 바꾼다!,시로타 마코토 ,김성재 ,2013-01-26,9788979144338
IT 전문가로 사는 법,장동인 ,,2016-11-30,9788968484711
회사에서 바로 통하는 일러스트레이터 CS4,박혜진 ,,2009-10-27,9788979147056
"밥장, 몰스킨에 쓰고 그리다","밥장(글) , 강연욱(사진) ",,2016-02-26,9788968482571
"IT CookBook, 쉬운 영어로 읽는 최신 전산 영어(개정3판)",조준모 ,,2015-12-30,9791156642039
"IT CookBook, 쉽게 배우는 알고리즘(개정판)",문병로 ,,2018-01-20,9791156643753
"펠트보이와 함께하는 컬러링 놀이: 안티 스트레스, 집중력 향상을 위한 컬러링북",펠트보이 ,,2015-03-20,9788968481802
구글+아이폰 200% 업무 활용법,이임복 ,,2012-01-04,9788979148770
스마트 워크 : 낭만 IT 김국현의 제안,김국현 ,,2011-01-20,9788979148039
제대로 시작하는 기초 통계학 : Excel 활용,노경섭 ,,2016-06-10,9791156642565
누구나 할 수 있는 정진호의 비주얼씽킹,정진호 ,,2015-06-27,9788968481987
좋은 사진을 만드는 김주원의 어도비 포토샵 라이트룸 CC 사진 강의,김주원 ,,2016-07-25,9788968482977
회사에서 바로 통하는 엑셀 파워포인트 워드 2016 한글 NEO + 원노트,"전미진 , 이화진 , 신면철 ",,2016-10-21,9788968484889
이것이 인포그래픽이다,원다예 ,,2016-08-22,9788968484933
세상에서 제일 친절한 엑셀,박재영 ,,2017-04-05,9788968484605
프로젝트로 배우는 라즈베리 파이,도날드 노리스 ,임지순 ,2015-04-24,9788968481888
Zero to Maker: 누구나 메이커가 될 수 있다,데이비드 랭 ,장재웅 ,2015-02-27,9788968481710
회사에서 바로 통하는 엑셀 파워포인트 워드 2016 + 원노트,"전미진 , 이화진 , 신면철 ",,2016-09-30,9788968484926
"IT CookBook, C C++로 배우는 자료구조론",주우석 ,,2015-02-24,9791156641780
"웹툰, 만화, 일러스트레이션 제작을 위한 클립 스튜디오","이상화 , 홍지혁 ",,2017-04-17,9788968483530
"IT CookBook, C로 배우는 쉬운 자료구조(개정3판)",이지영 ,,2016-07-28,9791156642695
Maker Pro : 메이커 프로,존 베이첼 ,정향 ,2015-07-28,9788968482038
구글 실전 바이블 : Google 라이프에 관한 거의 모든 것,라이프해커(김명걸) ,,2012-08-23,9788979149562
게임스토밍 : 팀의 운명을 바꾸는 성과 창출의 기술,데이브 그레이 · 서니 브라운 · 제임스 매카누포 ,"정진호 , 강유선 ",2010-12-15,9788994120119
Make: 라즈베리 파이 로봇,볼프람 도낫 ,이하영 ,2015-08-27,9788968482144
핀테크: IT와 금융이 만나는 새로운 세상,"강창호 , 이정훈 ",,2015-06-28,9788968482007
철들고 그림 그리다 : 잊었던 나를 만나는 행복한 드로잉 시간,정진호 ,,2012-12-28,9788979149838
"IT CookBook, 자바로 배우는 쉬운 자료구조",이지영 ,,2013-07-02,9788998756420
NDC ART BOOK 2017,2017년 넥슨 개발자 콘퍼런스 아트 전시회 참여 작가 ,,2017-04-28,9788968483516
MOS 2016 엑셀 Expert,"김경희 , 오해강 ",,2017-09-11,9791156643357
(2018) 완벽분석! 사회조사분석사 2급 필기,"노경섭 , 김성일 , 김기만 ",,2018-02-28,9791156643852
제대로 알고 쓰는 논문 통계분석 : SPSS & AMOS 21,노경섭 ,,2014-02-07,9791156641001
마인크래프트 슈퍼 건축 레시피,"히류 , 이마이 산타로 ",곰다비 ,2017-06-05,9788968483325
"IT CookBook, OpenGL로 배우는 3차원 컴퓨터 그래픽스",주우석 ,,2013-08-18,9788998756505
스케치업 & V-Ray 트레이닝 북,강석창 ,,2017-10-16,9791162240076
"IT CookBook, C로 배우는 쉬운 자료구조(개정판)",이지영 ,,2013-07-28,9788998756383
Make: 센서,"테로 카르비넨 , 키모 카르비넨 , 빌리 발토카리 ","지영민 , 남기혁 ",2015-09-28,9788968482205
회사에서 바로 통하는 실무의 기술,이현지 ,,2017-12-22,9791162240304
행복 화실,정진호 ,,2016-04-28,9788968482830
연필 하나로 시작하는 일러스트 연습장,우모토 사치코 ,류현정 ,2008-09-02,9788979145915
